"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.65753424657534","12.8893643889435","","","","","","","","","","","","","","","","","4.98288031019377","4.13128063146064","3.81713722037328","3.58620987710173","4.24086879887645","4.12452782606748","6.28182082607575","8.00812871153026","7.52857011643931","10.5477358571424","9.15321825198046","9.00661761214895","9.27655323380869","10.8536759622072","11.6043391561716","","",
"Afghanistan","AFG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.163824674927042","0.0686789456453882","0.0227439817476196","0.0241408385259934","0.0142406244753313","0.0115304161485474","0.0171919008924942","0.0350619479814528","0.0518220686922314","0.101941745648561","0.0915435039044285","0.109378878694535","","","","","","","","",
"Africa Western and Central","AFW","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.08892378308416","4.88644416697601","6.74907431040171","7.5926004147512","7.47735076101014","9.12223928905361","9.5061670120264","","","","",
"Angola","AGO","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.241295891944048","0.360712414267576","2.55473150972548","2.77718868627562","1.7640290268832","3.25719581869961","2.29577623357813","0.549478665151843","1.04164588718486","4.77954250395123","8.44407735697019","4.29775708216611","1.73955097556705","2.32139711959246","2.10351862891843","3.32653719268244","9.48574817746618","13.7020911962502","16.5402705579421","20.5996010187756","22.494038906987","25.187180764127","18.3701078150735","12.9570213148472","23.6718837565057","25.187180764127","",
"Albania","ALB","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9478309532199","17.8753754469328","33.8983670395262","36.5855300634633","","","","16.4512416860091","17.8648667324977","15.4899942116556","","","","","","","12.9861335620343","13.1809528626805","14.0450167732175","11.2701126932717","10.5223217565603","9.71519157209464","7.73970302969854","8.5813935058396","8.06655647539145","8.52582072031223","6.50561490957785","7.31408380022955","7.04504143403456","7.41703631822189","",
"Andorra","AND","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56387750571741","1.49186801658718","1.67484349981924","2.2353294714284","2.24231505510196","1.7431550770274","1.50904550353117","",
"Arab World","ARB","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00201529963006026","0.079158266303592","0.340713650725389","1.1786818753689","1.92498132600234","3.0388427510985","",
"Argentina","ARG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.6027963627729","11.0944928684628","9.41988890725265","7.1963417639284","8.34171773529681","11.2816814626316","13.0403543473483","14.3902665598787","16.1473797348001","20.6435274689866","23.869228879243","27.4718595774682","47.910030671362","34.5801986688026","26.4570519590906","","","","","","","","","","8.53190556024392","8.32315211040757","13.9565149181762","11.8066620522456","16.4774283123674","19.542362717226","11.0831741282416","7.83661389642186","9.47430226617865","8.59771414459103","8.46208377895978","",
"Armenia","ARM","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.72487859093953","2.21647093331521","1.66804500790412","1.42552786757455","1.32975357936331","2.25360826288472","3.7342493080084","3.85230039219443","4.12125014643915","4.29458210221029","5.10923618039565","6.18523035436581","8.24198882048674","9.60777563027228","10.1820168168123","9.96461886338451","10.6452559067568","10.9441131132779","9.85904112142016","11.1089311863769","12.6007315081548","",
"American Samoa","ASM","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","6.74590073731705","6.93426890929729","5.78633803966376","5.63326551373347","5.13869699224147","6.40926990449464","6.85582125304589","7.50568612585292","7.28730366492147","7.13492504164353","6.89235032729705","7.36396930589466","8.56445176788231","9.57272188848464","10.6530452340054","10.6290961997944","9.20361218330267","8.20199668317756","7.44771228609572","6.15911035072712","5.98108279658283","5.53680291313776","6.3958480045533","7.14498310485495","7.41534230806127","7.14301636956732","6.02312089892703","7.56154560297084","6.09310644148369","3.33481199279806","2.89421918601992","2.36519510404146","1.88680066505915","1.71231782152902","1.55104008305833","1.43675664782263","1.33666943614133","1.54593867948917","2.29974126269061","3.09609125060779","3.68647507251477","3.46491146553807","3.50905964683905","3.85096907733802","3.91562689998135","3.80461669991451","3.70461492270932","3.49325109953996","3.48613515816088","3.20656117385791","3.08204640033961","","","",
"Austria","AUT","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","2.16889386412929","2.05738705738706","1.99989446467205","2.45267409606307","3.55977062196736","4.01747068544896","4.59984138477983","4.86216012084591","5.0896305262551","5.39664278617371","6.40390371506905","6.48884206493632","7.39217016434338","8.07149458119801","8.58377726404664","9.57683741648105","9.54637657744988","9.96692543656709","10.2828131714227","10.7564334318005","10.5124099279424","10.7036695366954","10.2083206060236","8.97238806672544","8.75932643002993","8.11220028352392","7.9450078303863","7.62297705835313","7.89154158457501","7.41426694875008","7.46183109177823","7.06795673117799","6.84235871232243","7.26897120221095","7.03437028288792","6.82971333034533","6.23126336670489","6.82961983301539","6.42349837638844","6.16704513515137","5.993224377203","5.61854589099067","5.26153220387811","4.99839552172285","4.57745173945013","4.1179415960588","3.59812234792041","3.16986622290645","3.08426089791633","2.492931518597","2.15569416078849","2.62016235170767","3.08352908996582","",
"Azerbaijan","AZE","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208461884828978","0.304909009006663","2.50738230389082","2.96415824774951","1.95327811687089","2.42106023007113","","","","","","","","","0.165248327302864","0.540618517042879","0.198602242445573","0.715783964919833","0.398993227731356","0.65719791228003","0.357620675741681","1.13633309502948","2.91037136736744","2.0071661343407","2.43715735591677","1.75137533176258","2.21126527667123","1.76324564327867","1.19806414724053","1.71546099910662","","",
"Burundi","BDI","Interest payments (% of revenue)","GC.XPN.INTP.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.43328241531135","9.53761485922068","7.60848638866428","8.23684264648417","7.8093157131752","10.4076874160955","14.6248011952383","11.5753061714601","14.9631587106847","","","","","","","","","","","2.46323640830298","3.03949765896276","3.58620987710173","2.98539912946695","3.77331145234813","2.35065145068857","7.21898462416466","6.49930920607394","","4.97138808636635","2.73974877082625","2.35965509741586","","","","",
