"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.07480836325694","2.03201637394063","1.9127310898034","2.32584071234405","2.32944021182086","2.27476310472412","2.47211994090449","2.52499109661674","2.45238983549063","2.74734867247968","2.80083539720603","2.79462329401432","2.73582989870811","2.62592123235301","2.62505263151567","2.67971494433485","2.74208699626195","2.73600482718679","2.72570294751678","2.73567553327344","3.1387376262421","3.08059075645484","2.74728133485323","2.69883179761905","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08418062","0.65096337","0.54292566","0.5291841","0.49784002","0.55994755","0.62779975","0.53190351","0.46915731","0.47999981","0.34288675","0.44335932","0.47265697","0.52267277","0.60012972","0.64313394","0.55239552","0.49705607","1.18621242","0.71036398","0.18147056","0.24774949","","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.696879546604546","0.855214577100921","0.684064616676621","0.917051106044699","1.07706997872024","1.05319387761381","0.938377083734918","0.847815736038644","0.767015141772623","0.767048467529496","0.684518900204214","0.706785950634921","0.72308299560876","0.72077625645611","0.651210902547373","0.742713444156151","0.721870677963045","0.799872170682834","0.744825549457975","0.727961933468943","0.902921014711324","0.909341818849809","0.916696263397926","0.956329000337115","","",
"Angola","AGO","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98097837","1.80684185","1.15548134","1.28335834","1.4713583","1.14204562","1.28968012","1.53876388","1.91652381","2.23769045","1.46826649","1.52542961","1.39434171","1.5071826","1.16797769","1.08924341","1.05520773","1.12824702","0.97981894","1.00303984","1.46055436","1.51676536","1.30711842","1.1340301","","",
"Albania","ALB","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73330545","2.72089767","2.55822611","2.63895035","2.7876544","2.65562892","2.60609818","2.71601963","2.27345061","2.33076763","2.35073113","2.36980104","2.42631125","2.54741931","2.56312561","2.67593837","2.84762025","2.74185801","2.84073949","2.89433575","2.97455955","2.91998744","3.72758842","3.49766994","","",
"Andorra","AND","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.88115096","3.82370234","3.97611761","3.54889631","3.27483177","3.58344364","2.96214485","2.95692062","3.70078373","4.13392305","5.68869781","5.60742188","4.67067814","4.76766396","4.8130722","4.97208548","5.00518513","5.08694077","5.21907949","5.22278023","6.37670708","6.16799164","5.53698158","5.45127535","","",
"Arab World","ARB","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.14651230852434","2.38297937559091","2.34562400394402","2.23288022552367","2.08578923606675","1.9583629549158","1.9611474011102","2.00831798788004","1.91775920277946","2.54635936423376","2.24891109644393","2.2759980721112","2.3036231000245","2.46953186329305","2.72886322818961","2.92121280266174","3.19936978488205","3.02917433728892","2.87434969852607","2.98920936020837","3.65123150016355","3.36644910116568","2.93568567934409","3.33390266787101","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64852011","1.91321862","1.66402185","1.62154937","1.40612853","1.3188324","1.33256018","1.50558293","1.8716644","2.98415613","2.65301466","2.58301282","2.42006803","2.52060986","2.50834441","2.46962833","2.97157669","2.19714189","2.1139648","2.2531426","3.55229998","3.40082932","3.0025692","3.31956935","","",
"Argentina","ARG","Domestic general government health expenditure (% of GDP)","SH.XPD.GHED.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.49895144","4.4767065","3.87838697","3.76298237","3.43900657","3.93187881","4.04397869","4.24544716","4.47786331","5.74631262","5.56987906","5.71961212","6.14357281","6.2950058","6.40571356","6.80309105","6.5777607","6.68290806","6.11101341","6.2193737","6.99057627","6.34810066","5.95705795","6.18493843","","",
