"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.90326404805185","","","","2.31290078233869","","4.42943358618017","5.47174663624376","4.33322500270827","2.14563497385007","6.36739891754218","5.24150221453469","3.10600805491422","5.1122392118972","4.03936359826509","3.99546514705809","1.98057060239055","3.93068241560088","5.85037661799478","1.93475053810249","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.8","12.7","12.9","12.8","13","13","12.9","13.1","12.5","12.3","11.7","12.5","12.7","12.4","","",
"Afghanistan","AFG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.05954969836362","3.47545228477135","4.19453539608613","6.37433845786952","","","9.95218590955213","6.6799974594108","6.79202120758186","6.73324816708819","7.16396695794585","6.57810893906391","4.0324584656778","","","","",
"Africa Western and Central","AFW","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4","16.3","16.3","16.3","16.3","16.3","16.2","15.7","15","14.4","13.7","13.1","12.6","11.9","","",
"Angola","AGO","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.35620071002768","4.83370121625773","","","4.45347324389499","4.09826656345614","","","","","","","","","",
"Albania","ALB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.96039483308611","5.82703558411989","3.42569506817668","7.94827910550865","8.38037537919658","41.3046638507867","20.559899007284","16.6844618578932","4.13752044085122","6.98868960005159","6.89194828996724","5.32377619293878","4.22763729131083","5.00624317533652","3.11392865202781","3.47350066343863","3.10732240524797","2.87018701294404","4.06320641959299","4.87720435898422","5.39518158737926","4.26472598705621","4.6147231364138","2.20793808941597","2.72614352662554","2.00121280396654","2.28039848927055","2.25302550996799","2.12398982086583","2.31608568885389","1.6975478920699","1.38708340817063","","",
"Andorra","AND","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.34544231416078","","","","1.19768367976334","","","1.28562796497949","","","","","","","","","2.58464719565779","","","","","",
"Arab World","ARB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.7","","4.2","3.8","","","","","","","","","","",
"United Arab Emirates","ARE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.96564564292759","0.708390053731386","0.920353599853064","0.727797670204742","0.740572167270486","0.691671912805994","","","","0.68245938100401","0.687938137215929","0.44948191080481","0.693218125037315","","","",
"Argentina","ARG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.31631763979875","9.38748649102565","7.72167974407433","6.02330247756233","5.6047423259877","5.32783270151026","5.34525993519266","5.86530605419315","6.46679948327286","5.7739778082346","6.01715853502966","6.28057846262278","7.2142387373598","7.50277667235654","6.52528743235621","5.97945616037571","5.23155985787317","5.33872203870925","5.13191495105041","5.35272149985868","4.62126366336244","4.31202462020709","4.49291137824536","","",
"Armenia","ARM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.01108138714052","5.14668537551365","8.53896490667401","7.76061963335416","4.66621688694975","3.50709423184281","3.47695018399624","3.08044046602136","2.89864016374512","2.84154951589468","2.91141445632454","2.85311376029208","2.25812680200155","","2.74603388341134","1.92924911296119","2.64180737077633","2.58839277280399","3.27703809810168","3.29314060878627","1.91055986909936","2.42878652522919","2.22410225395655","2.15567534571216","2.46370989542236","2.56745781452856","2.98068464955971","2.40140228170953","1.71823401969337","2.51379877522903","2.59435451162573","3.13550776151398","2.74222289100063","2.20833575400906","","",
"American Samoa","ASM","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75274084850184","12.2674658044391","5.26588322026312","7.04002252807209","10.5975237119593","7.09540661114511","1.78211822572309","5.37364763201261","3.6017864860971","9.05329675801443","9.10821469883688","3.67046559856118","5.55493834018442","5.61104253170239","7.56458262415371","","13.5695731399992","25.5360106858383","","","","","","","",
"Antigua and Barbuda","ATG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58562786899543","4.7328316531781","3.10537307175741","6.0987695732386","7.48027078580245","10.2656606319247","4.3096327474627","1.40740010977721","","","6.67449807774455","9.20217171252416","6.49080901443556","6.41980381079554","5.08133308773557","3.76834714013855","13.6469654111458","20.8068148438265","19.2975685063682","19.0084706497333","7.03230759313412","","11.4600045840018","","","","","22.1072644470973","13.1975452565823","3.28358699042834","9.79901138862879","17.3255801362224","10.771219302025","10.7163332993983","","",
"Australia","AUS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18377608517614","1.95929365734864","1.71516925030892","1.87892384044585","1.7879658555513","1.96735685247661","1.93386535571719","1.96704523731198","1.78593227563009","2.03596185527632","1.89207133777963","1.79185252403083","1.86778958584828","1.52375535865531","1.31193813318786","1.27620846840694","1.36470308152627","1.21691956283382","1.2213046917262","1.20736293068024","1.04328595693519","1.10321388892905","1.06333429077178","1.05438607284246","1.02985300162206","0.985468432815397","0.933005940041915","0.841048385412525","0.879787384450029","0.882951478402183","0.858459424254959","0.743554074825619","0.839663105025691","0.854406035826682","","",
"Austria","AUT","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15891082955944","1.32780896051895","1.23681706022101","1.01169833103288","1.10856993848067","0.981092399848233","1.24357572236205","0.828125812637664","0.965097862489974","0.750573015586587","1.02334627242376","0.870405077197159","0.804292546441553","0.61556629267321","0.721845781686185","0.656199514789066","0.737614857062635","0.542367847855454","0.696842970941948","0.611139601001334","0.729220953530514","0.917401680155648","0.960671644685274","0.719220332146561","0.491353494620118","0.509021333026224","0.617996363091403","0.795565065715095","0.972669073494819","0.86703158562286","0.728584791296886","0.724875548626241","0.871514782049046","0.876191031111463","","",
"Azerbaijan","AZE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.54980634281726","4.8808445036769","7.615673163394","6.36983841532279","6.55811561550412","5.73887608581187","5.10791622302286","3.57852915269565","3.48874704640183","2.98748042012122","2.76459853289117","2.64185728383987","2.54619986576002","","","","","2.14083972909202","2.14701734840338","","2.25214132449197","2.27956547808754","2.15439538519976","2.32523663491333","2.45038540616903","2.16347016513122","1.71253212771072","1.82574937607272","1.96219351122527","1.66164299896889","2.15091148557269","1.7001534193041","1.78722260168325","2.16122820563689","","",
"Burundi","BDI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.96473671628838","4.98115757408239","5.22232594341804","4.17285957648643","5.64974214487878","","","","","","","","","",
"Belgium","BEL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04078369840703","1.02242863470673","1.20397149301638","1.43490345712787","1.18623897545331","1.40077229903727","1.18145476364776","1.42415668316462","","","2.06794627670662","2.74132280198769","3.08720442799957","","","","","","","","","","","","","","","","","","","1.08030153549307","","","","",
"Benin","BEN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1274974068","","","","","","","","",
"Burkina Faso","BFA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.634502436611376","0.640082233972341","0.598592111354095","0.469380905212251","0.498945237000072","0.659555211401829","1.02792938601642","0.891613012477695","0.788198249930744","0.55963484448214","0.693972911642403","0.708730048883044","0.739223164024124","0.646029930732339","1.12086279620408","1.25044051977478","","","","","","","","",
"Bangladesh","BGD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48468340032929","2.68848229951461","2.52134727497062","2.46221986613972","2.73052626299689","2.48210654779569","2.84551231101236","2.61032424254411","2.74227810461832","2.7963784334228","2.62020241832397","2.58218128044816","2.65299368492385","2.80645239116244","2.85759633031455","2.53163478437081","2.23304324758363","2.18822635384583","2.34217668208578","","","","","","","",
"Bulgaria","BGR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57300621772053","4.31242817650872","5.3977634682523","5.78749294427837","5.845370350844","5.91080617413618","5.28258322661631","4.84355676733719","4.68162809330743","4.05331911985956","4.14973052687391","3.8847432008165","3.2434732256055","3.16487749649733","3.14861867259915","2.58607823120566","2.43446129167281","2.3329723596816","2.28250164569032","2.00320205170625","1.9898896128905","1.73441146879584","1.92701571481315","1.50042683013702","1.55050575213407","1.75548173553612","1.10839328712128","1.45569963291636","1.30965598682543","1.18988414972527","0.995146569224991","1.29412653402161","1.11341216291447","1.08890737415431","","",
"Bahrain","BHR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.842854782863751","1.31450739656881","0.961530756965088","","","","1.28579602560448","1.06355046380771","","","","","0.378284574027927","0.535373224289705","1.09833893134157","0.164847301944209","0.994424592783129","0.739947200656415","0.874958141207108","0.685532521662828","0.219034059796298","0.279797762177498","0.40485966551844","0.333861836620704","0.269238704006036","","0.0665883809268237","0.195636140255462","","","",
"Bahamas, The","BHS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.307627077184","9.97396083795519","14.3393243730043","12.0134756872995","17.5374103315582","13.2687146927795","16.6520824898455","14.7955876984338","","","22.8511433291645","13.1163142546883","15.6808819893008","14.8979120576251","12.949479372068","15.1209384287019","17.5098672407607","22.0753988076454","20.3842002901258","23.9794933987487","25.5797974025621","34.1646737273659","29.2966539226222","31.4023111045433","31.9122778565412","37.8879787412108","28.6041558488412","31.2431975620062","23.1718729111893","24.0704681959437","18.4407464713126","30.0222265391437","32.1981392997156","","","",
"Bosnia and Herzegovina","BIH","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.64094651593337","","","","","","","","","","2.37993841729047","1.96198627662379","2.14899585184106","","1.64212058622739","","","1.64448112135673","1.67192542098005","1.82999406669529","1.46924881899287","1.36298129441799","1.71656816607988","1.27393509411472","1.40259182137488","1.61998987932639","1.29570864177198","1.22496031638975","1.15146147032772","1.25540534198886","1.3032872085846","0.986160622452258","1.09211115070447","1.22446173133237","","",
"Belarus","BLR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.98710984271411","4.56155643837205","5.81352018287338","7.38186093198924","8.10346868537203","9.4141057724796","9.54346099516161","10.0865766139214","10.2771879609885","9.70194605698071","10.1388075821466","9.75038903448508","10.0167626319454","","","","","6.7864785114628","5.79262527444136","5.12235971019014","4.22516594181188","3.93761674954488","3.59291188230382","3.51842837615655","3.58925893151456","3.43617510284546","3.23189754442635","2.5274359757027","2.38395844908102","2.38463165310244","","","","","","",
"Belize","BLZ","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.026648781764","25.7671255764891","33.9832466500136","25.3999545075442","29.0774177044667","28.9564420040003","31.9579266947688","32.7592029719689","33.841336699944","31.028680737267","40.2816593545567","37.8859632506156","43.3594287320507","28.9789741443153","35.2513810373364","33.3957281531601","37.8388012229062","38.0491503919464","37.609161907442","34.7304566666278","26.0995390360826","31.6178339760185","28.0582917218107","","","",
"Bermuda","BMU","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73736285691948","5.17384105960265","1.71210889012541","5.10069624503745","10.1361624488968","","6.6875094043101","3.32352892301045","","3.27201040499309","","4.84907261486241","1.60920465060144","3.20584746577758","1.5985932379506","3.18923314888935","4.77452314450094","4.7611868051643","7.89895654784003","9.439156768662","10.9846136946748","12.5524653826541","9.42714388963957","7.86491226690366","6.29633710588865","6.30283548811522","12.6086511107434","7.86429374710004","7.83318450282778","","10.8726041440154","10.8278678381388","13.8999359058511","6.18257133141674","","",
"Bolivia","BOL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.92977342561603","5.74238712195448","6.58463782839173","4.98767505522938","4.25827764835632","3.62211536699793","3.50161189331694","4.01584677979597","4.41843313132273","","",
"Brazil","BRA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6463430965049","18.5523881422863","16.8315196406125","17.865892961495","18.7432334815665","21.0220886836161","23.6865994083929","24.3049302659348","24.7990574348239","25.0021056965213","26.0748466246634","27.2006084949971","27.848196026942","28.2710884352715","26.4918363852054","25.7693915381983","26.3403064568888","25.3144591379199","26.3359303856077","26.7914479705158","26.9945684769237","26.7470983503833","28.6413621085766","28.6404106359245","29.8537931807395","28.8503019791216","30.1193623667804","31.1611756216413","27.1606152370358","21.2445602088385","21.8129091470528","20.5048626655709","20.0811754127452","19.2752957673079","","",
"Barbados","BRB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.148659126813","8.09646358037186","8.45287426541641","8.04514475514027","7.64466087328783","6.4875715302464","","","7.62090566842964","8.76132067385984","7.63175267015947","9.52651323899545","9.46439117464452","12.416471013184","8.23051425749538","10.7924646267668","12.9628909469021","9.21528188625762","8.43372831294266","6.93120776295269","11.2627546154587","9.7776844270458","7.94403069284586","8.64350926476149","8.98156264819578","11.1115093730958","7.86845375942203","10.7077463406277","9.9746892260888","17.0692460193985","14.5545939268294","11.3416257157186","15.2310515092909","7.43794627677661","","",
"Brunei Darussalam","BRN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.01734470313519","2.6200172593637","1.28046916390165","1.25230306360291","1.22540009313041","","","0.865458678675387","0.566715923725704","0.557234223654314","0.822678504096253","0.808903329311286","0.264695216692739","0.779316928711984","0.254886167837444","0.25038277266371","0.986299073002159","0.486378957300791","","","","","","","","","","","","",
"Bhutan","BTN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.39393198899687","2.00072192716205","4.67310747801043","3.42544474442126","3.60686928254861","2.91976663765149","2.18665466436218","1.25291638662494","1.93173935567712","2.23145702127952","3.01576743741864","3.11070253579559","3.04287978142514","0.784112623664362","2.30576078961547","1.66196908586412","1.34168257430126","2.06294638844396","2.62256292876172","2.30551536914183","2.28039770135912","4.51100049761974","4.60071701477597","3.30909878073498","","1.62026847848689","1.20342414282773","1.72337338408889","1.18458616482332","1.04599228057697","2.46751324015657","","","","","",
"Botswana","BWA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4397431689457","14.6151696864186","17.5701744036911","14.3319908850751","15.8162746748832","13.9235904298522","14.6504737073704","14.4104744148694","14.5177033093833","14.9032725963493","","","","","","","","","","9.3410798076921","11.3681767255945","","","","",
"Central African Republic","CAF","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.120400654","","","","","","","","","",
"Canada","CAN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36420719847115","2.67782712086616","2.57192445510508","2.17130131394599","2.04478059204049","1.99259098999575","2.12986066159284","1.94949354586228","1.84306153027948","1.76146925228784","1.76745915413225","1.77486867333404","1.84553461879682","1.72443676408719","1.9450604450874","2.04684481799773","1.85596882167745","1.8040520550306","1.83562569798247","1.80332678612386","1.62880268220815","1.76238467720832","1.57205168149969","1.44219466327057","1.47330111088167","1.69900457240782","1.69447965211893","1.80664809278477","1.77503663024043","1.82357460879594","2.00409191032713","2.08300518200199","2.27195104620383","1.97968887560784","","",
"Central Europe and the Baltics","CEB","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","1.3","1.3","","","","","","","","","","",
"Switzerland","CHE","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63856942164309","1.44182476164834","1.35271733640357","1.51338131761031","1.14390504158274","1.16469372993522","1.17366186815719","1.22722535983623","1.06887327115022","1.24577957176257","0.960466836994092","1.19008237930126","1.18152122781488","","","","","","","0.659115273445603","0.664472756521145","0.581221136763671","0.562575490598645","0.704468878665988","0.500596106180341","0.688078876533782","0.537319784436855","0.532315829369355","0.587106357663197","0.53628529631628","0.543944872228796","0.482369204585241","0.477697117734824","0.597481940544685","","",
"Channel Islands","CHI","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.659308780674341","1.307198086262","","0.639218619159939","","0","","","","","","","","","","","","","","","",
"Chile","CHL","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.20129769251024","","3.52319921168418","3.57376612166027","3.6949106294991","3.4918963063576","3.70376238471268","3.14874215608169","3.66532251337043","2.47729352143792","3.14355060592079","2.4518317226161","2.32163505387454","3.39405749254204","4.19745439747334","4.36665251518391","4.81306553520039","5.75613878004137","4.65658124495601","6.80201256720408","6.34829073035101","","",
"China","CHN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24204895736743","2.06434925045202","2.10048890051469","","","","","2.04185850578199","1.88433167405903","1.89778004857568","1.5854633417248","1.3636011505677","1.21578178296856","1.11041885098023","1.09249548072451","0.992185694923539","0.883293080721741","0.824083830524219","0.771569105292682","0.726466059590713","0.658962453224414","0.614934212808057","0.565721900260259","0.530299683323493","0.518362801144556","0.5018560705357","","","","","",
"Cote d'Ivoire","CIV","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07792769766784","4.9315814918857","6.55621886133867","6.20036459628944","","","","","4.17787035373775","6.68097609322311","5.07929961186829","4.12706343595528","4.22883189715635","","","3.78238510747147","3.35548128633803","4.16103693703584","","","4.58593823145619","","6.76008919336955","","","",
"Congo, Dem. Rep.","COD","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
